Program,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT
power,u-VLSR,1,0,0.0,0.0,0.0,0.5,1.0,0.9629629629629629,1.0,If,0,0
power,u-VLSR,0,1,0.25,0.25,0.25,0.25,0.14285714285714285,0.2222222222222222,0.22972972972972974,Assignment,0,0
power,u-VLSR,0,1,0.25,0.25,0.25,0.25,0.14285714285714285,0.2222222222222222,0.22972972972972974,Assignment,0,0
power,u-VLSR,0,1,0.25,0.25,0.25,0.25,0.14285714285714285,0.2222222222222222,0.22972972972972974,Assignment,0,0
power,u-VLSR,0,0,0.25,0.25,0.25,0.75,0.8571428571428571,1.0,0.25675675675675674,For,0,0
power,u-VLSR,0,0,0.25,0.25,0.25,0.75,0.8571428571428571,1.0,0.25675675675675674,For,0,0
power,u-VLSR,0,0,0.25,0.25,0.25,0.75,0.8571428571428571,1.0,0.25675675675675674,For,0,0
power,u-VLSR,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VLSR,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VLSR,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VLSR,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VLSR,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VLSR,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VLSR,0,0,1.0,1.0,1.0,0.75,0.42857142857142855,0.6666666666666666,0.0,For,0,0
power,u-VLSR,0,0,1.0,1.0,1.0,0.75,0.42857142857142855,0.6666666666666666,0.0,For,0,0
power,u-VLSR,0,0,1.0,1.0,1.0,0.75,0.42857142857142855,0.6666666666666666,0.0,For,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VLSR,0,0,0.5,1.0,0.75,0.0,0.0,0.0,0.1891891891891892,Return,0,0
power,u-VLSR,0,0,0.5,1.0,0.75,0.0,0.0,0.0,0.1891891891891892,Return,0,0
power,u-VLSR,0,0,0.5,1.0,0.75,0.0,0.0,0.0,0.1891891891891892,Return,0,0
power,u-VTWD,1,0,0.0,0.0,0.0,0.5,1.0,0.9629629629629629,1.0,Assignment,0,0
power,u-VTWD,1,0,0.0,0.0,0.0,0.5,1.0,0.9629629629629629,1.0,Assignment,0,0
power,u-VTWD,1,0,0.0,0.0,0.0,0.5,1.0,0.9629629629629629,1.0,If,0,0
power,u-VTWD,1,0,0.0,0.0,0.0,0.5,1.0,0.9629629629629629,1.0,If,0,0
power,u-VTWD,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VTWD,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VTWD,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VTWD,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VTWD,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VTWD,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VTWD,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VTWD,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VTWD,0,0,0.5,1.0,0.75,0.0,0.0,0.0,0.1891891891891892,Return,0,0
power,u-VTWD,0,0,0.5,1.0,0.75,0.0,0.0,0.0,0.1891891891891892,Return,0,0
power,u-VVDL,1,0,0.0,0.0,0.0,0.5,1.0,0.9629629629629629,1.0,If,0,0
power,u-VVDL,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VVDL,1,0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7777777777777778,0.6756756756756757,For,0,0
power,u-VVDL,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
power,u-VVDL,0,1,0.75,0.75,0.75,1.0,0.5714285714285714,0.8888888888888888,0.8783783783783784,Assignment,0,0
